season,venue,team,opposition_team,player,player_role,balls_faced,strike_rate,runs_scored,overs_bowled,economy,wickets
2015,M Chinnaswamy Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,KL Rahul,batsman,31.0,163.16,50.0,,,
2015,Wankhede Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,2.0,7.07,5.0
2015,Wankhede Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,2.0,8.43,1.0
2015,Arun Jaitley Stadium,Mumbai Indians,Delhi Capitals,Mohammed Shami,bowler,,,,2.0,7.98,3.0
2015,Eden Gardens,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,batsman,16.0,131.12,20.0,,,
2015,MA Chidambaram Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,2.0,8.71,1.0
2015,Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,Mohammed Shami,bowler,,,,3.0,6.38,5.0
2015,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,Rohit Sharma,batsman,18.0,156.88,28.0,,,
2015,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Yuzvendra Chahal,bowler,,,,2.0,6.02,5.0
2015,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Virat Kohli,batsman,52.0,120.15,62.0,,,
2015,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,4.0,7.19,5.0
2015,M Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Ravindra Jadeja,bowler,,,,3.0,6.92,5.0
2015,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,3.0,5.29,2.0
2015,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Virat Kohli,batsman,64.0,108.23,69.0,,,
2015,M Chinnaswamy Stadium,Chennai Super Kings,Sunrisers Hyderabad,Virat Kohli,batsman,63.0,117.21,73.0,,,
2015,Wankhede Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Shubman Gill,batsman,65.0,170.38,110.0,,,
2015,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Virat Kohli,batsman,40.0,170.21,68.0,,,
2015,Wankhede Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunil Narine,bowler,,,,3.0,7.26,2.0
2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,2.0,9.48,4.0
2015,Eden Gardens,Mumbai Indians,Sunrisers Hyderabad,Rishabh Pant,batsman,46.0,115.11,52.0,,,
2015,Eden Gardens,Sunrisers Hyderabad,Delhi Capitals,Ravindra Jadeja,bowler,,,,2.0,8.97,2.0
2015,M Chinnaswamy Stadium,Kolkata Knight Riders,Chennai Super Kings,Rohit Sharma,batsman,65.0,169.23,109.0,,,
2015,MA Chidambaram Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Shubman Gill,batsman,19.0,135.18,25.0,,,
2015,M Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,3.0,9.69,3.0
2015,Wankhede Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Jasprit Bumrah,bowler,,,,3.0,9.38,5.0
2015,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Ravindra Jadeja,bowler,,,,4.0,8.81,3.0
2015,M Chinnaswamy Stadium,Delhi Capitals,Mumbai Indians,Yuzvendra Chahal,bowler,,,,4.0,7.52,1.0
2015,M Chinnaswamy Stadium,Mumbai Indians,Chennai Super Kings,Shubman Gill,batsman,19.0,159.1,30.0,,,
2015,Arun Jaitley Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunil Narine,bowler,,,,4.0,9.85,0.0
2015,Eden Gardens,Mumbai Indians,Chennai Super Kings,Shubman Gill,batsman,68.0,117.31,79.0,,,
2015,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Jasprit Bumrah,bowler,,,,4.0,8.84,0.0
2015,Wankhede Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Rohit Sharma,batsman,49.0,106.52,52.0,,,
2015,MA Chidambaram Stadium,Sunrisers Hyderabad,Delhi Capitals,Jasprit Bumrah,bowler,,,,3.0,6.55,3.0
2015,Eden Gardens,Delhi Capitals,Royal Challengers Bangalore,KL Rahul,batsman,68.0,102.3,69.0,,,
2015,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Virat Kohli,batsman,21.0,123.42,25.0,,,
2015,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Jasprit Bumrah,bowler,,,,2.0,7.67,2.0
2015,Eden Gardens,Mumbai Indians,Chennai Super Kings,Sunil Narine,bowler,,,,4.0,6.99,5.0
2015,Arun Jaitley Stadium,Chennai Super Kings,Mumbai Indians,Mohammed Shami,bowler,,,,3.0,8.62,3.0
2015,MA Chidambaram Stadium,Sunrisers Hyderabad,Mumbai Indians,Ravindra Jadeja,bowler,,,,2.0,5.32,2.0
2015,Arun Jaitley Stadium,Royal Challengers Bangalore,Mumbai Indians,Virat Kohli,batsman,47.0,138.86,65.0,,,
2015,MA Chidambaram Stadium,Delhi Capitals,Sunrisers Hyderabad,Rohit Sharma,batsman,45.0,142.56,64.0,,,
2015,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Jasprit Bumrah,bowler,,,,4.0,7.85,4.0
2015,Eden Gardens,Mumbai Indians,Sunrisers Hyderabad,Rohit Sharma,batsman,70.0,172.94,121.0,,,
2015,M Chinnaswamy Stadium,Delhi Capitals,Mumbai Indians,Yuzvendra Chahal,bowler,,,,2.0,5.38,2.0
2015,M Chinnaswamy Stadium,Kolkata Knight Riders,Chennai Super Kings,Shubman Gill,batsman,69.0,100.57,69.0,,,
2015,M Chinnaswamy Stadium,Mumbai Indians,Delhi Capitals,Ravindra Jadeja,bowler,,,,2.0,6.98,3.0
2015,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,KL Rahul,batsman,30.0,131.6,39.0,,,
2015,Arun Jaitley Stadium,Royal Challengers Bangalore,Chennai Super Kings,Rishabh Pant,batsman,39.0,164.64,64.0,,,
2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Rohit Sharma,batsman,33.0,175.89,58.0,,,
2015,Arun Jaitley Stadium,Kolkata Knight Riders,Mumbai Indians,KL Rahul,batsman,61.0,128.77,78.0,,,
2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Sunil Narine,bowler,,,,2.0,9.98,0.0
2015,M Chinnaswamy Stadium,Mumbai Indians,Chennai Super Kings,KL Rahul,batsman,49.0,165.17,80.0,,,
2015,Eden Gardens,Mumbai Indians,Sunrisers Hyderabad,Mohammed Shami,bowler,,,,2.0,5.83,2.0
2015,MA Chidambaram Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Shubman Gill,batsman,32.0,126.39,40.0,,,
2015,MA Chidambaram Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Jasprit Bumrah,bowler,,,,4.0,8.0,2.0
2015,Wankhede Stadium,Delhi Capitals,Chennai Super Kings,Sunil Narine,bowler,,,,2.0,7.07,0.0
2015,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Jasprit Bumrah,bowler,,,,4.0,8.13,1.0
2015,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Virat Kohli,batsman,21.0,146.79,30.0,,,
2015,M Chinnaswamy Stadium,Delhi Capitals,Mumbai Indians,Sunil Narine,bowler,,,,3.0,6.13,1.0
2015,MA Chidambaram Stadium,Royal Challengers Bangalore,Mumbai Indians,Yuzvendra Chahal,bowler,,,,3.0,5.87,1.0
2015,Wankhede Stadium,Chennai Super Kings,Delhi Capitals,Jasprit Bumrah,bowler,,,,2.0,9.15,0.0
2015,M Chinnaswamy Stadium,Sunrisers Hyderabad,Chennai Super Kings,Virat Kohli,batsman,37.0,135.62,50.0,,,
2015,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,KL Rahul,batsman,57.0,168.32,95.0,,,
2015,MA Chidambaram Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,3.0,6.79,0.0
2015,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Shubman Gill,batsman,55.0,111.92,61.0,,,
2015,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Rishabh Pant,batsman,49.0,143.57,70.0,,,
2015,Wankhede Stadium,Chennai Super Kings,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,4.0,6.32,1.0
2015,Arun Jaitley Stadium,Mumbai Indians,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,4.0,6.77,3.0
2015,Wankhede Stadium,Kolkata Knight Riders,Chennai Super Kings,Mohammed Shami,bowler,,,,3.0,8.79,0.0
2015,MA Chidambaram Stadium,Kolkata Knight Riders,Delhi Capitals,Shubman Gill,batsman,67.0,172.15,115.0,,,
2015,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunil Narine,bowler,,,,3.0,9.33,5.0
2015,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Jasprit Bumrah,bowler,,,,4.0,9.58,0.0
2015,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Mohammed Shami,bowler,,,,4.0,6.93,2.0
2015,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Ravindra Jadeja,bowler,,,,2.0,9.04,4.0
2015,Eden Gardens,Chennai Super Kings,Royal Challengers Bangalore,Jasprit Bumrah,bowler,,,,4.0,7.12,2.0
2015,Wankhede Stadium,Chennai Super Kings,Royal Challengers Bangalore,Rishabh Pant,batsman,12.0,103.18,12.0,,,
2015,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Yuzvendra Chahal,bowler,,,,3.0,9.88,5.0
2015,MA Chidambaram Stadium,Mumbai Indians,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,3.0,5.6,2.0
2015,Arun Jaitley Stadium,Mumbai Indians,Royal Challengers Bangalore,Sunil Narine,bowler,,,,2.0,7.38,5.0
2015,M Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Rohit Sharma,batsman,27.0,172.61,46.0,,,
2015,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Mohammed Shami,bowler,,,,3.0,6.59,1.0
2015,Wankhede Stadium,Chennai Super Kings,Delhi Capitals,Rishabh Pant,batsman,46.0,176.39,81.0,,,
2015,Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,3.0,5.58,4.0
2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Shubman Gill,batsman,49.0,169.82,83.0,,,
2015,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,KL Rahul,batsman,18.0,168.16,30.0,,,
2015,M Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Sunil Narine,bowler,,,,3.0,8.56,5.0
2015,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,3.0,8.7,3.0
2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Jasprit Bumrah,bowler,,,,2.0,8.07,3.0
2015,Eden Gardens,Sunrisers Hyderabad,Mumbai Indians,Shubman Gill,batsman,48.0,105.1,50.0,,,
2015,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,KL Rahul,batsman,16.0,141.47,22.0,,,
2015,Wankhede Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,2.0,8.41,2.0
2015,MA Chidambaram Stadium,Delhi Capitals,Sunrisers Hyderabad,Rishabh Pant,batsman,60.0,139.85,83.0,,,
2015,Wankhede Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,4.0,7.65,4.0
2015,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Virat Kohli,batsman,47.0,160.46,75.0,,,
2015,Eden Gardens,Royal Challengers Bangalore,Chennai Super Kings,Shubman Gill,batsman,20.0,159.65,31.0,,,
2015,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,KL Rahul,batsman,37.0,165.44,61.0,,,
2015,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Ravindra Jadeja,bowler,,,,2.0,5.62,5.0
2015,MA Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,Mohammed Shami,bowler,,,,4.0,8.49,4.0
2015,M Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Sunil Narine,bowler,,,,4.0,8.01,2.0
2015,MA Chidambaram Stadium,Royal Challengers Bangalore,Delhi Capitals,Mohammed Shami,bowler,,,,3.0,9.51,4.0
2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,KL Rahul,batsman,57.0,129.29,73.0,,,
2015,M Chinnaswamy Stadium,Mumbai Indians,Delhi Capitals,Ravindra Jadeja,bowler,,,,2.0,8.25,3.0
2015,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Jasprit Bumrah,bowler,,,,2.0,8.93,1.0
2015,Wankhede Stadium,Delhi Capitals,Kolkata Knight Riders,Shubman Gill,batsman,39.0,173.0,67.0,,,
2015,M Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunil Narine,bowler,,,,4.0,8.34,4.0
2015,Eden Gardens,Chennai Super Kings,Royal Challengers Bangalore,Shubman Gill,batsman,10.0,131.65,13.0,,,
2015,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,KL Rahul,batsman,43.0,179.9,77.0,,,
2015,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,KL Rahul,batsman,58.0,144.18,83.0,,,
2015,Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,4.0,6.47,0.0
2015,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,Mohammed Shami,bowler,,,,4.0,9.76,2.0
2015,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Mohammed Shami,bowler,,,,3.0,5.06,2.0
2015,M Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Virat Kohli,batsman,15.0,176.61,26.0,,,
2015,MA Chidambaram Stadium,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Chahal,bowler,,,,2.0,8.53,3.0
2015,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Sunil Narine,bowler,,,,3.0,9.37,0.0
2015,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Jasprit Bumrah,bowler,,,,4.0,8.4,2.0
2015,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Rishabh Pant,batsman,14.0,161.4,22.0,,,
2015,Wankhede Stadium,Sunrisers Hyderabad,Delhi Capitals,Rishabh Pant,batsman,45.0,174.49,78.0,,,
2015,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Rohit Sharma,batsman,37.0,172.25,63.0,,,
2015,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Shubman Gill,batsman,47.0,127.98,60.0,,,
2015,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mohammed Shami,bowler,,,,3.0,5.02,1.0
2015,Eden Gardens,Mumbai Indians,Sunrisers Hyderabad,Rishabh Pant,batsman,32.0,173.45,55.0,,,
2015,MA Chidambaram Stadium,Royal Challengers Bangalore,Mumbai Indians,Ravindra Jadeja,bowler,,,,3.0,6.7,1.0
2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Sunil Narine,bowler,,,,4.0,9.3,2.0
2015,M Chinnaswamy Stadium,Sunrisers Hyderabad,Chennai Super Kings,Yuzvendra Chahal,bowler,,,,4.0,9.18,3.0
2015,Eden Gardens,Mumbai Indians,Chennai Super Kings,Jasprit Bumrah,bowler,,,,4.0,7.81,1.0
2015,Wankhede Stadium,Chennai Super Kings,Royal Challengers Bangalore,Shubman Gill,batsman,56.0,133.26,74.0,,,
2015,M Chinnaswamy Stadium,Kolkata Knight Riders,Chennai Super Kings,KL Rahul,batsman,22.0,110.0,24.0,,,
2015,MA Chidambaram Stadium,Mumbai Indians,Sunrisers Hyderabad,Rohit Sharma,batsman,70.0,158.41,110.0,,,
2015,Arun Jaitley Stadium,Kolkata Knight Riders,Mumbai Indians,Virat Kohli,batsman,39.0,160.11,62.0,,,
2015,MA Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,2.0,7.74,4.0
2015,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Rishabh Pant,batsman,31.0,107.18,33.0,,,
2015,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,4.0,5.68,1.0
2015,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Shubman Gill,batsman,13.0,147.72,19.0,,,
2015,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Virat Kohli,batsman,36.0,126.9,45.0,,,
2015,Eden Gardens,Sunrisers Hyderabad,Mumbai Indians,KL Rahul,batsman,25.0,119.35,29.0,,,
2016,Wankhede Stadium,Delhi Capitals,Royal Challengers Bangalore,Sunil Narine,bowler,,,,2.0,8.99,1.0
2016,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Sunil Narine,bowler,,,,4.0,6.13,4.0
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Shubman Gill,batsman,22.0,129.64,28.0,,,
2016,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Yuzvendra Chahal,bowler,,,,4.0,8.86,2.0
2016,Arun Jaitley Stadium,Sunrisers Hyderabad,Mumbai Indians,KL Rahul,batsman,43.0,150.26,64.0,,,
2016,MA Chidambaram Stadium,Kolkata Knight Riders,Mumbai Indians,Rohit Sharma,batsman,20.0,163.26,32.0,,,
2016,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Jasprit Bumrah,bowler,,,,2.0,8.72,4.0
2016,MA Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,Sunil Narine,bowler,,,,4.0,8.65,4.0
2016,Wankhede Stadium,Chennai Super Kings,Kolkata Knight Riders,Shubman Gill,batsman,51.0,121.98,62.0,,,
2016,MA Chidambaram Stadium,Kolkata Knight Riders,Delhi Capitals,Ravindra Jadeja,bowler,,,,2.0,8.25,5.0
2016,Wankhede Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,KL Rahul,batsman,12.0,179.2,21.0,,,
2016,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,Shubman Gill,batsman,41.0,110.33,45.0,,,
2016,Eden Gardens,Royal Challengers Bangalore,Sunrisers Hyderabad,Yuzvendra Chahal,bowler,,,,3.0,9.08,2.0
2016,M Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Sunil Narine,bowler,,,,2.0,8.98,4.0
2016,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Rishabh Pant,batsman,36.0,139.47,50.0,,,
2016,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Yuzvendra Chahal,bowler,,,,3.0,9.39,5.0
2016,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Rishabh Pant,batsman,51.0,107.39,54.0,,,
2016,MA Chidambaram Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Rohit Sharma,batsman,53.0,106.35,56.0,,,
2016,MA Chidambaram Stadium,Sunrisers Hyderabad,Chennai Super Kings,Rishabh Pant,batsman,37.0,148.12,54.0,,,
2016,Wankhede Stadium,Kolkata Knight Riders,Chennai Super Kings,Shubman Gill,batsman,27.0,129.22,34.0,,,
2016,Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,4.0,6.86,2.0
2016,MA Chidambaram Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,4.0,5.27,0.0
2016,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Ravindra Jadeja,bowler,,,,4.0,6.86,2.0
2016,Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,Rohit Sharma,batsman,24.0,174.92,41.0,,,
2016,Eden Gardens,Delhi Capitals,Royal Challengers Bangalore,KL Rahul,batsman,41.0,153.7,63.0,,,
2016,M Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,Rishabh Pant,batsman,38.0,124.32,47.0,,,
2016,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Shubman Gill,batsman,25.0,161.87,40.0,,,
2016,M Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Mohammed Shami,bowler,,,,4.0,9.58,0.0
2016,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,KL Rahul,batsman,58.0,116.29,67.0,,,
2016,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Rohit Sharma,batsman,30.0,175.71,52.0,,,
2016,MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Rohit Sharma,batsman,55.0,179.72,98.0,,,
2016,Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,Rohit Sharma,batsman,61.0,127.71,77.0,,,
2016,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Ravindra Jadeja,bowler,,,,2.0,8.0,5.0
2016,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Rishabh Pant,batsman,47.0,169.73,79.0,,,
2016,MA Chidambaram Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunil Narine,bowler,,,,3.0,8.09,1.0
2016,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Sunil Narine,bowler,,,,4.0,8.73,2.0
2016,Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,4.0,9.03,0.0
2016,MA Chidambaram Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunil Narine,bowler,,,,2.0,7.29,1.0
2016,M Chinnaswamy Stadium,Chennai Super Kings,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,3.0,9.0,3.0
2016,M Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,Shubman Gill,batsman,42.0,106.0,44.0,,,
2016,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,Sunil Narine,bowler,,,,2.0,5.86,2.0
2016,Eden Gardens,Sunrisers Hyderabad,Delhi Capitals,Rohit Sharma,batsman,10.0,160.24,16.0,,,
2016,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Rohit Sharma,batsman,29.0,118.79,34.0,,,
2016,Eden Gardens,Delhi Capitals,Kolkata Knight Riders,Sunil Narine,bowler,,,,2.0,5.48,1.0
2016,M Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Virat Kohli,batsman,49.0,147.4,72.0,,,
2016,MA Chidambaram Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,4.0,7.89,1.0
2016,Wankhede Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Sunil Narine,bowler,,,,2.0,9.16,0.0
2016,Arun Jaitley Stadium,Mumbai Indians,Sunrisers Hyderabad,Rohit Sharma,batsman,48.0,110.5,53.0,,,
2016,Eden Gardens,Royal Challengers Bangalore,Delhi Capitals,Yuzvendra Chahal,bowler,,,,2.0,5.71,2.0
2016,M Chinnaswamy Stadium,Sunrisers Hyderabad,Chennai Super Kings,KL Rahul,batsman,59.0,158.37,93.0,,,
2016,Wankhede Stadium,Kolkata Knight Riders,Delhi Capitals,Mohammed Shami,bowler,,,,3.0,8.81,2.0
2016,Wankhede Stadium,Kolkata Knight Riders,Delhi Capitals,Virat Kohli,batsman,30.0,138.7,41.0,,,
2016,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Mohammed Shami,bowler,,,,4.0,6.19,2.0
2016,MA Chidambaram Stadium,Delhi Capitals,Mumbai Indians,KL Rahul,batsman,43.0,114.96,49.0,,,
2016,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,2.0,9.57,1.0
2016,Wankhede Stadium,Chennai Super Kings,Delhi Capitals,Sunil Narine,bowler,,,,2.0,9.65,4.0
2016,Wankhede Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunil Narine,bowler,,,,3.0,6.25,0.0
2016,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Virat Kohli,batsman,34.0,101.88,34.0,,,
2016,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Rishabh Pant,batsman,42.0,156.67,65.0,,,
2016,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Rishabh Pant,batsman,31.0,113.63,35.0,,,
2016,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Mohammed Shami,bowler,,,,4.0,6.4,2.0
2016,Arun Jaitley Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,2.0,5.53,2.0
2016,Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,Shubman Gill,batsman,26.0,173.99,45.0,,,
2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Virat Kohli,batsman,16.0,141.79,22.0,,,
